heart_rate,burned_calories,step,step_frequency,speed,m_speed,distance,m_activity,m_ambience,m_light,w_light,m_ble,m_screen_use,m_usage_stats,m_charging
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.24320544,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.23016833,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.21538806,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.23016833,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.21538806,0.0,3,0,0.0,0.0,1,0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.24320544,0.0,3,0,0.0,0.0,0,0,0.46377176,1
0.0,0.0,0.0,0.0,0.0,0.25486755,0.0,3,0,0.0,0.0,0,0,0.46377176,1
0.0,0.0,0.0,0.0,0.0,0.21538806,0.0,3,0,0.0,0.0,0,0,0.46377176,1
0.0,0.0,0.0,0.0,0.0,0.23016833,0.0,3,0,0.0,0.0,0,0,0.46377176,1
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.0,0,0,0.46377176,1
0.0,0.0,0.0,0.0,0.0,0.23016833,0.0,3,0,0.0,0.0,0,0,0.46377176,0
0.0,0.0,0.0,0.0,0.0,0.25486755,0.0,3,0,0.0,0.0,0,0,0.46377176,0
0.0,0.0,0.0,0.0,0.0,0.17814477,0.0,3,0,0.0,0.0,0,0,0.46377176,0
0.0,0.0,0.0,0.0,0.0,0.36480817,0.0,3,0,0.0,0.0,0,0,0.46377176,0
0.0,0.0,0.0,0.0,0.0,0.38701993,0.0,3,0,0.0,0.24442825,0,0,0.46377176,0
0.0,0.0,0.0,0.0,0.0,0.24320544,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.0,0.26979238,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.17814477,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.17814477,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.17814477,0.0,3,0,0.0,0.31381473,0,0,0.5501594,0
0.0,0.0,0.0,0.0,0.0,0.12160272,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.14178346,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.15884602,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.17362629,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.43125382,0.09145927,0.07635331,0.1866634,0.40011072,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.1983255,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.29211083,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.24320544,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.2750483,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
0.0,0.0,0.0,0.0,0.0,0.36063078,0.0,3,0,0.0,0.31381473,0,0,0.86288303,0
109.0,0.0,0.0,0.0,0.0,0.49929607,0.0,3,0,0.0,0.34504905,0,0,0.93668216,0
104.0,0.14030097,0.65275365,0.2882988,0.24775143,0.5280555,0.6207507,7,0,0.0,0.0,0,0,0.93668216,0
114.0,0.1110561,0.85001665,0.6347808,0.5684427,0.5516233,0.81922054,7,0,0.0,0.0,0,0,0.93668216,0
105.0,0.29958662,0.83086586,0.59386677,0.5288604,0.39032426,0.7995413,7,0,0.0,0.0,0,0,0.93668216,0
102.0,0.29037726,0.62667227,0.25536048,0.21333453,0.29211083,0.58979106,7,0,0.0,0.0,0,0,0.93668216,0
100.0,0.14421931,0.4699802,0.113944516,0.094688974,0.396651,0.43701172,0,0,0.0,0.20322613,0,0,0.93668216,0
97.0,0.0,0.0,0.0,0.0,0.60801363,0.0,0,0,0.0,0.26979238,0,0,0.93668216,0
92.0,0.0,0.0,0.0,0.0,0.6696303,0.0,0,0,0.0,0.23020218,0,0,0.93668216,0
91.0,0.0,0.0,0.0,0.0,0.7806485,0.0,0,0,0.0,0.16724987,0,0,0.93668216,0
90.0,0.0,0.0,0.0,0.0,0.80626315,0.0,0,0,0.0,0.0,0,0,0.93668216,0
87.0,0.0,0.41615304,0.08375253,0.061551172,0.7109736,0.36453992,0,0,0.0,0.0,0,0,0.97407115,0
75.0,0.0,0.0,0.0,0.0,0.7403177,0.0,0,0,0.0,0.0,0,0,0.97407115,0
76.0,0.0,0.0,0.0,0.0,0.8492274,0.0,0,0,0.0,0.0,0,0,0.97407115,0
72.0,0.0,0.0,0.0,0.0,0.8099979,0.0,0,0,0.0,0.54033613,0,0,0.97407115,0
69.0,0.0,0.0,0.0,0.0,0.78742653,0.0,0,0,0.0,0.57633156,0,0,0.97407115,0
70.0,0.0,0.0,0.0,0.0,0.8225525,0.0,0,0,0.0,0.68003243,0,0,0.97407115,0
67.0,0.0,0.0,0.0,0.0,0.797492,0.0,0,0,0.29474643,0.6762447,0,0,0.97407115,0
74.0,0.0,0.0,0.0,0.0,0.8513708,0.0,0,0,0.3663473,0.6214236,0,1,0.97407115,0
70.0,0.0,0.0,0.0,0.0,0.8497415,0.0,0,0,0.40912318,0.4612695,0,1,0.97407115,0
78.0,0.0,0.0,0.0,0.0,0.63985646,0.0,0,0,0.4397289,0.4031916,0,1,0.97407115,0
73.0,0.0,0.0,0.0,0.0,0.5970075,0.0,0,0,0.46357718,0.34504905,1,1,0.5211366,0
83.0,0.0,0.0,0.0,0.0,0.52227914,0.0,0,0,0.48311892,0.34504905,1,0,0.5211366,0
101.0,0.056662362,0.33771136,0.051783543,0.039401166,0.43735355,0.29542965,7,0,0.49967408,0.4612695,1,0,0.5211366,0
104.0,0.2553737,0.7921395,0.51565063,0.4442122,0.51300687,0.7543072,7,0,0.5140357,0.6986144,1,0,0.5211366,0
100.0,0.17732622,0.69546986,0.34872946,0.29227227,0.4702556,0.65629613,7,0,0.52671766,0.38601282,1,0,0.5211366,0
89.0,0.2116347,0.724462,0.39441317,0.33733752,0.43735355,0.6884484,7,0,0.538072,0.46876022,1,1,0.5211366,0
89.0,0.15692645,0.69859695,0.35347462,0.300259,0.35177106,0.66224235,7,0,0.53913504,0.1945357,1,1,0.5211366,0
90.0,0.16049452,0.66445804,0.30404818,0.2518878,0.23016833,0.62424576,3,0,0.5401878,0.6632959,1,1,0.5211366,0
88.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.54123044,0.6384638,1,1,0.5211366,0
86.0,0.0,0.0,0.0,0.0,0.17814477,0.0,3,0,0.54226315,0.65158826,1,1,0.5211366,0
71.0,0.0,0.0,0.0,0.0,0.07672278,0.0,3,0,0.54328614,0.65158826,1,1,0.98497784,0
69.0,0.0,0.0,0.0,0.0,0.12160272,0.0,3,0,0.54429954,0.62929213,1,1,0.98497784,0
59.0,0.0,0.0,0.0,0.0,0.3259128,0.0,3,0,0.54530364,0.6954313,1,1,0.98497784,0
77.0,0.0,0.0,0.0,0.0,0.21538806,0.0,3,0,0.5462985,0.6272938,1,1,0.98497784,0
73.0,0.0,0.0,0.0,0.0,0.17814477,0.0,3,0,0.5472843,0.6483145,1,1,0.98497784,0
75.0,0.0,0.0,0.0,0.0,0.12160272,0.0,3,0,0.5482613,0.65292376,1,1,0.98497784,0
82.0,0.0,0.0,0.0,0.0,0.2654172,0.0,3,0,0.5442216,0.6787845,1,0,0.98497784,0
74.0,0.0,0.0,0.0,0.0,0.15344556,0.0,3,0,0.5400257,0.6738631,1,1,0.98497784,0
79.0,0.0,0.0,0.0,0.0,0.38009968,0.0,3,0,0.53566116,0.5851047,1,1,0.98497784,0
