heart_rate,burned_calories,step,step_frequency,speed,m_speed,distance,m_activity,m_ambience,m_light,w_light,m_ble,m_screen_use,m_usage_stats,m_charging
15.0,0.0,0.0,0.0,0.0,0.14428604,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.14421135,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.14413662,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.14406185,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.14398701,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.14391212,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.1438372,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.1437622,0.0,4,0,0.0,0.0,0,0,0.0,0
15.0,0.0,0.0,0.0,0.0,0.14368717,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14361209,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14353696,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14346176,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14338653,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14331123,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14323589,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14316049,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14308505,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14300956,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.14293401,0.0,4,0,0.0,0.0,0,0,0.0,0
16.0,0.0,0.0,0.0,0.0,0.1428584,0.0,4,0,0.0,0.0,0,0,0.0,0
